21:22:27{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677241348790, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23886.2, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122458228663.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:22:27{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677241348790, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23886.2, 'averagePrice': 23888.5, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122458228663.0, 'commisionAsset': 'USDT', 'commision': 0.095554, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:34:24{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242065477, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23918.9, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122461965739.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:34:24{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242065477, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23918.9, 'averagePrice': 23916.5, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122461965739.0, 'commisionAsset': 'USDT', 'commision': 0.095666, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': -0.28}
21:45:04{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242704870, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23880.5, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122464737973.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:45:04{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242705173, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23877.5, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122464741742.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:45:04{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242705329, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23871.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122464743846.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:45:04{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242705329, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23871.4, 'averagePrice': 23874.6, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122464743846.0, 'commisionAsset': 'USDT', 'commision': 0.0954984, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:45:04{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242705377, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23877.5, 'averagePrice': 23877.5, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122464741742.0, 'commisionAsset': 'USDT', 'commision': 0.047755, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:45:07{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677242708579, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23880.5, 'averagePrice': 23880.5, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122464737973.0, 'commisionAsset': 'USDT', 'commision': 0.047761, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
